"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2019","Belgium","Less than 1 year","Males","Number","60 344",""
"2019","Belgium","Less than 1 year","Females","Number","57 925",""
"2019","Belgium","1 year","Males","Number","61 619",""
"2019","Belgium","1 year","Females","Number","58 977",""
"2019","Belgium","2 years","Males","Number","63 303",""
"2019","Belgium","2 years","Females","Number","60 251",""
"2019","Belgium","3 years","Males","Number","63 970",""
"2019","Belgium","3 years","Females","Number","61 183",""
"2019","Belgium","4 years","Males","Number","65 941",""
"2019","Belgium","4 years","Females","Number","62 663",""
"2019","Belgium","5 years","Males","Number","66 288",""
"2019","Belgium","5 years","Females","Number","63 093",""
"2019","Belgium","6 years","Males","Number","67 509",""
"2019","Belgium","6 years","Females","Number","64 822",""
"2019","Belgium","7 years","Males","Number","68 336",""
"2019","Belgium","7 years","Females","Number","65 318",""
"2019","Belgium","8 years","Males","Number","69 597",""
"2019","Belgium","8 years","Females","Number","66 510",""
"2019","Belgium","9 years","Males","Number","69 193",""
"2019","Belgium","9 years","Females","Number","65 919",""
"2019","Belgium","10 years","Males","Number","69 683",""
"2019","Belgium","10 years","Females","Number","65 982",""
"2019","Belgium","11 years","Males","Number","67 890",""
"2019","Belgium","11 years","Females","Number","65 037",""
"2019","Belgium","12 years","Males","Number","67 302",""
"2019","Belgium","12 years","Females","Number","64 721",""
"2019","Belgium","13 years","Males","Number","66 106",""
"2019","Belgium","13 years","Females","Number","62 831",""
"2019","Belgium","14 years","Males","Number","65 303",""
"2019","Belgium","14 years","Females","Number","61 950",""
"2019","Belgium","15 years","Males","Number","63 507",""
"2019","Belgium","15 years","Females","Number","60 742",""
"2019","Belgium","16 years","Males","Number","63 533",""
"2019","Belgium","16 years","Females","Number","60 184",""
"2019","Belgium","17 years","Males","Number","64 534",""
"2019","Belgium","17 years","Females","Number","61 436",""
"2019","Belgium","18 years","Males","Number","66 381",""
"2019","Belgium","18 years","Females","Number","62 760",""
"2019","Belgium","19 years","Males","Number","65 835",""
"2019","Belgium","19 years","Females","Number","62 590",""
"2019","Belgium","20 years","Males","Number","66 532",""
"2019","Belgium","20 years","Females","Number","63 284",""
"2019","Belgium","21 years","Males","Number","67 766",""
"2019","Belgium","21 years","Females","Number","65 044",""
"2019","Belgium","22 years","Males","Number","68 460",""
"2019","Belgium","22 years","Females","Number","66 055",""
"2019","Belgium","23 years","Males","Number","68 918",""
"2019","Belgium","23 years","Females","Number","66 616",""
"2019","Belgium","24 years","Males","Number","69 922",""
"2019","Belgium","24 years","Females","Number","67 723",""
"2019","Belgium","25 years","Males","Number","72 348",""
"2019","Belgium","25 years","Females","Number","71 377",""
"2019","Belgium","26 years","Males","Number","75 012",""
"2019","Belgium","26 years","Females","Number","74 232",""
"2019","Belgium","27 years","Males","Number","76 129",""
"2019","Belgium","27 years","Females","Number","75 460",""
"2019","Belgium","28 years","Males","Number","76 066",""
"2019","Belgium","28 years","Females","Number","75 827",""
"2019","Belgium","29 years","Males","Number","75 369",""
"2019","Belgium","29 years","Females","Number","74 727",""
"2019","Belgium","30 years","Males","Number","74 948",""
"2019","Belgium","30 years","Females","Number","75 156",""
"2019","Belgium","31 years","Males","Number","73 753",""
"2019","Belgium","31 years","Females","Number","73 868",""
"2019","Belgium","32 years","Males","Number","73 988",""
"2019","Belgium","32 years","Females","Number","73 695",""
"2019","Belgium","33 years","Males","Number","72 481",""
"2019","Belgium","33 years","Females","Number","72 643",""
"2019","Belgium","34 years","Males","Number","72 996",""
"2019","Belgium","34 years","Females","Number","73 252",""
"2019","Belgium","35 years","Males","Number","73 509",""
"2019","Belgium","35 years","Females","Number","73 002",""
"2019","Belgium","36 years","Males","Number","74 900",""
"2019","Belgium","36 years","Females","Number","74 845",""
"2019","Belgium","37 years","Males","Number","76 082",""
"2019","Belgium","37 years","Females","Number","75 349",""
"2019","Belgium","38 years","Males","Number","76 560",""
"2019","Belgium","38 years","Females","Number","76 731",""
"2019","Belgium","39 years","Males","Number","76 106",""
"2019","Belgium","39 years","Females","Number","74 700",""
"2019","Belgium","40 years","Males","Number","74 709",""
"2019","Belgium","40 years","Females","Number","74 283",""
"2019","Belgium","41 years","Males","Number","74 039",""
"2019","Belgium","41 years","Females","Number","73 198",""
"2019","Belgium","42 years","Males","Number","73 234",""
"2019","Belgium","42 years","Females","Number","72 035",""
"2019","Belgium","43 years","Males","Number","72 223",""
"2019","Belgium","43 years","Females","Number","70 760",""
"2019","Belgium","44 years","Males","Number","74 362",""
"2019","Belgium","44 years","Females","Number","72 531",""
"2019","Belgium","45 years","Males","Number","76 129",""
"2019","Belgium","45 years","Females","Number","73 789",""
"2019","Belgium","46 years","Males","Number","78 000",""
"2019","Belgium","46 years","Females","Number","76 583",""
